Locus	5_MIN_AVG	15_MIN_AVG	30_MIN_AVG	60_MIN_AVG
b3054	1.06	1.1475	1.27	1.365
b3055	0.92	0.8825	0.655	0.625
b3056	1.0875	1.07	0.985	0.9725
b3057	1.87	1.9175	2.26	1.945
b3058	2.2475	3.69	3.355	2.4625
b3059	0.9375	0.86	0.855	1.115
b3060	1.9	1.805	1.535	2.2625
b3061	0.495	0	0	0.4525
b3062	0	0	0	0.2825
b3063	0.73	0.9425	1.265	0.81
b3064	1.1975	1.035	1.225	1.5125
b3065	1.8475	2.105	1.875	1.945
b3066	1.0075	0.9275	0.99	0.9325
b3067	0.785	0.625	0.66	0.7575
b3068	1.055	1.835	1.565	1.26
b3070	1.28	1.6525	1.32	1.435
b3071	1.5925	1.89	1.995	2.5675
b3072	1.155	1.2475	1.145	1.0775
b3073	0.265	0.1025	0.115	0.1525
b3074	1.2275	3.1425	1.685	1.1425
b3075	1.6675	2.2725	1.81	1.39
b3076	0.83	1	0.68	0.7025
b3077	0.9125	0.3475	0.215	0.5825
b3078	0.945	1.6025	0.915	0.705
b3080	0.915	0.5725	0.265	0.8325
b3081	0.095	0.105	0.125	0.1
b3082	1.005	1.1575	1.225	1.245
b3083	1.3775	2.83	1.6	1.5825
b3084	3.26	4.465	5.435	4.3225
b3085	1.8525	1.98	1.865	1.51
b3087	0.2725	0.2275	0.255	0.3275
b3088	1.6675	1.55	2.125	1.745
b3089	0.96	0.7925	0.79	0.52
b3090	1.3025	2.05	2.68	1.9625
b3091	0.53	0.6325	0.445	0.4025
b3092	0.76	0.985	0.685	0.505
b3093	0.52	0.3225	0.22	0.37
b3094	0.8725	0.935	0.97	1.115
b3096	1.2625	1.38	1.445	1.685
b3097	0.205	0.1525	0.19	0.3075
b3098	0.3725	0.28	0.205	0.315
b3099	0.435	0.2675	0.29	0.3325
b3100	0.4925	0.2325	0.265	0.3475
b3101	0.6225	0.8025	0.835	0.8125
b3102	0.3125	0.24	0.225	0.505
b3103	0.4475	0.3275	0.405	0.4425
b3104	0.7075	0.6125	0.845	1.545
b3105	1.435	1.405	1.525	1.225
b3106	0.935	1.18	0.985	0.8075
b3107	0.395	0.4625	0.56	0.725
b3108	1.535	1.68	1.935	1.4025
b4470	1.26	0.925	1.11	1.5325
b3110	0.93	0.9075	1.105	1.2025
b3111	1.1525	1.1925	1.395	1.32
b4471	0.76	0.47	0.685	0.6375
b3113	0.96	0.805	0.795	0.965
