tag	EP	MP	LP	SP	LSP
DehaBAV1_0517	28.34137357	23.54762832	23.06128599	29.35671014	0
DehaBAV1_1215	144.8479772	143.2492887	97.75863514	97.97053063	50.53423658
DehaBAV1_0645	70.10385099	73.20067798	113.6674873	89.56164049	0
DehaBAV1_0982	6.639163077	9.552610347	14.70795784	0	0
DehaBAV1_0849	82.66828864	71.74862959	57.50209739	102.8683754	50.53423658
DehaBAV1_0473	129.4279856	96.70803744	77.40620075	170.1823173	0
DehaBAV1_1201	5.139997221	4.019756535	2.64703959	0	0
DehaBAV1_1348	9.137772838	12.0812422	10.86416673	0	0
DehaBAV1_1202	20.48860003	22.67026518	19.82449873	14.54877204	0
DehaBAV1_0860	25.1288753	25.55015527	17.07952548	11.12869587	0
DehaBAV1_0542	46.54553039	47.1988132	15.41557748	69.39131866	0
DehaBAV1_0861	223.9468234	221.9206014	131.5489597	164.10997	101.0684732
DehaBAV1_0324	131.141318	125.4794462	246.6861369	187.0000976	50.53423658
DehaBAV1_0714	35.4802586	31.79621729	9.359964408	44.51478347	0
DehaBAV1_0240	8.209717784	6.122582868	8.039588856	33.73622282	0
DehaBAV1_0887	52.61358267	60.71512489	32.03312212	57.30318629	101.0684732
DehaBAV1_R0035	0.856666204	1.07647465	0.853715492	33.73622282	0
DehaBAV1_0093	16.06249132	6.923489353	8.65341762	0	0
DehaBAV1_0125	26.12831921	25.63153947	47.12759896	29.70684537	0
DehaBAV1_0100	0.928055054	1.587108877	1.430886186	0	0
DehaBAV1_1248	0.713888503	0.638269597	1.099354283	4.029377458	0
DehaBAV1_0652	132.2121507	115.5299525	60.58596388	153.873176	101.0684732
DehaBAV1_1270	1.142221605	0.658599208	0.829097971	0	0
DehaBAV1_R0043	0	0	0.067564078	14.19863682	0
DehaBAV1_1114	8.638050886	8.284174419	4.194724897	4.029377458	0
DehaBAV1_0674	67.89079663	52.55787652	38.92987371	75.36300368	0
DehaBAV1_0539	41.90525512	31.95160789	10.15186788	78.78307985	50.53423658
DehaBAV1_0158	14.99165856	16.78540592	22.53802955	18.5781495	50.53423658
DehaBAV1_1016	45.90303074	39.10070287	35.52758871	45.56518914	0
DehaBAV1_0262	55.75469208	56.12206402	27.54405981	40.48540601	0
DehaBAV1_0085	0.785277353	1.097215007	1.344993073	0	0
DehaBAV1_0250	57.46802449	63.13326818	14.7640178	30.66628187	101.0684732
DehaBAV1_1221	2.35583206	2.123310215	2.259984157	0	0
DehaBAV1_0797	4.069164467	4.741767411	10.81493169	0	0
DehaBAV1_0107	12.84999305	14.07792118	14.93005196	4.029377458	0
