Microarray_ID	Gene_name	Locus	5 min_b1t1	5 min_b1t2	5 min_b2t1	5 min_b2t2	15 min_b1t1	15 min_b1t2	15 min_b2t1	15 min_b2t2	30 min_b1t1	30 min_b2t1	60 min_b1t1	60 min_b1t2	60 min_b2t1	60 min_b2t2	Probe position	Description	Function	AUC
A_07_P000003	ygiF	b3054	0.95	0.83	1.31	1.15	0.91	0.92	1.34	1.42	1.05	1.49	1.22	1.04	1.70	1.50	chr:3197757-3197698	predicted adenylate cyclase	"orf, hypothetical protein [b3054]"	16.107
A_07_P000008	htrG	b3055	1.19	0.99	0.85	0.65	1.23	1.04	0.66	0.60	0.86	0.45	1.07	0.88	0.28	0.27	chr:3199626-3199685	predicted signal transduction protein (SH3 domain)	"orf, hypothetical protein [b3055]"	-33.636
A_07_P000015	cca	b3056	0.98	1.30	0.79	1.28	1.05	1.18	0.85	1.20	1.02	0.95	0.63	1.00	0.92	1.34	chr:3200847-3200906	fused tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase and phosphatase	tRNA nucleotidyl transferase [b3056]	-0.441
A_07_P000016	bacA	b3057	1.77	2.17	1.12	2.42	1.69	1.82	1.70	2.46	2.03	2.49	1.50	1.84	1.85	2.59	chr:3201423-3201364	undecaprenyl pyrophosphate phosphatase	bacitracin resistance; possibly phosphorylates undecaprenol [b3057]	56.055
A_07_P000021	folB	b3058	2.37	2.57	2.06	1.99	3.34	3.73	3.92	3.77	3.51	3.20	1.66	1.67	3.36	3.16	chr:3202550-3202491	bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase	putative kinase [b3058]	86.852
A_07_P000026	ygiH	b3059	0.92	0.79	1.01	1.03	0.81	0.87	0.88	0.88	0.93	0.78	1.59	1.33	0.84	0.70	chr:3203253-3203312	conserved inner membrane protein	"orf, hypothetical protein [b3059]"	-7.256
A_07_P000033	ttdR	b3060	1.84	1.30	2.82	1.64	1.68	1.43	2.51	1.60	1.67	1.40	2.27	1.73	3.40	1.65	chr:3203756-3203697	predicted DNA-binding transcriptional regulator	putative transcriptional regulator LYSR-type [b3060]	45.045
A_07_P000036	ttdA	b3061				1.98							0.65	1.16			chr:3204811-3204870	"L-tartrate dehydratase, alpha subunit"	"L-tartrate dehydratase, subunit A [b3061]"	NaN
A_07_P000043	ttdB	b3062											1.12		0.01		chr:3205880-3205939	"L-tartrate dehydratase, beta subunit"	"L-tartrate dehydratase, subunit B [b3062]"	NaN
A_07_P000047	ttdT	b3063	1.79	1.13			2.74	1.03			2.53		1.86	1.38			chr:3206342-3206401	predicted tartrate:succinate antiporter	"orf, hypothetical protein [b3063]"	NaN
A_07_P000051	ygjD	b3064	1.36	1.10	1.31	1.02	1.06	0.88	1.23	0.97	1.47	0.98	1.33	1.08	2.08	1.56	chr:3208506-3208447	predicted peptidase	putative O-sialoglycoprotein endopeptidase [b3064]	16.024
A_07_P000059	rpsU	b3065	2.42	1.20	2.05	1.72	2.26	2.08	2.08	2.00	1.87	1.88	2.43	0.98	2.61	1.76	chr:3208909-3208968	30S ribosomal subunit protein S21	30S ribosomal subunit protein S21 [b3065]	50.941
A_07_P000065	dnaG	b3066	1.17	0.92	1.07	0.87	0.89	0.77	1.01	1.04	1.10	0.88	1.47	1.11	0.64	0.51	chr:3210635-3210694	DNA primase	DNA biosynthesis; DNA primase [b3066]	-5.320
